Zona	Denominação	Localização	MACROZONA
1	Centro 	Interna	Centro
2	Bela Vista 	Interna	Centro
3	J.Paulista 	Interna	Centro
4	Vl.São Pedro e J.Paulista 	Interna	Centro
5	V.Piratininga 	Interna	Centro
6	V.Adyanna 	Interna	Centro
7	V.Ema e Maringá 	Interna	Centro
8	Santana 	Interna	Norte
9	V.Industrial 	Interna	Leste
10	J.da Granja 	Interna	Sudeste
11	CTA	Interna	Sudeste
12	V.das Acacias ( CTA ) V.Letonia 	Interna	Sul
13	J.Satélite 	Interna	Sul
14	J.Aquarius 	Interna	Oeste
15	Cond. Esplanada do Sol	Interna	Centro
16	J.Telespark 	Interna	Norte
17	Santana e Alto da Ponte 	Interna	Norte
18	V.Tesouro 	Interna	Leste
19	J.Motorama 	Interna	Leste
20	J.Americano e V.Verde	Interna	Leste
21	Pousada do Vale 	Interna	Leste
22	Flamboyant 	Interna	Sudeste
23	São Judas Tadeu 	Interna	Sudeste
24	Pq.Interlagos 	Interna	Sul
25	Cid.Jardim e Bosque 	Interna	Sul
26	D.Pedro 	Interna	Sul
27	Campo dos Alemães 	Interna	Sul
28	Res.Gazzo 	Interna	Sul
29	Res.União 	Interna	Sul
30	Pq.Industrial 	Interna	Sul
31	Palmeiras de São Jose 	Interna	Sul
32	J.Alvorada 	Interna	Oeste
33	Limoreiro	Interna	Oeste
34	Urbanova	Interna	Oeste
35	J.Maringá e V.Ema 	Interna	Centro
36	Altos de Santana 	Interna	Norte
37	Altos da V.Paiva e V.S.Geraldo 	Interna	Norte
38	J.Boa Vista 	Interna	Norte
39	Freitas 	Interna	Extremo Norte
40	J.Ismenia 		Leste
41	Vazio - Rural	Interna	Leste
42	Eugenio de Melo 	Interna	Leste
43	J.Pararangaba e Detroit 	Interna	Leste
44	Pq.Novo Horizonte	Interna	Leste
45	J.São Jose II	Interna	Leste
46	Cajuru	Interna	Sudeste
47	J.Colonial 	Interna	Sul
48	São Francisco Xavier	Interna	Extremo Norte
49	J.Diamante	Interna	Leste
50	Vazio - Urbano	Interna	Leste
51	Santa Cecilia	Interna	Leste
52	Vazio - Urbano	Interna	Oeste
53	Área Rural	Interna	Extremo Norte
54	Águas de Canidu 	Interna	Norte
55	Vazio - Urbano 	Interna	Extremo Norte 
102	Aparecida	Externa	Externa
103	Atibaia	Externa	Externa
104	Caçapava	Externa	Externa
105	Cachoeira Paulista 	Externa	Externa
106	Campinas	Externa	Externa
107	Campos do Jordão	Externa	Externa
108	Caraguatatuba	Externa	Externa
109	Cruzeiro	Externa	Externa
110	Guaratinguetá	Externa	Externa
111	Jacareí	Externa	Externa
112	Jambeiro	Externa	Externa
113	Monteiro Lobato	Externa	Externa
114	Natividade da Serra	Externa	Externa
115	Paraibuna	Externa	Externa
116	Pindamonhangaba	Externa	Externa
117	Rio de Janeiro	Externa	Externa
118	São Paulo	Externa	Externa
119	São Sebastião	Externa	Externa
120	Taubaté	Externa	Externa
121	Ubatuba 	Externa	Externa
122	Outros	Externa	Externa
123	Santo Antonio do Pinhal	Externa	Externa
124	Lorena	Externa	Externa
125	Americana	Externa	Externa
126	Jundiaí	Externa	Externa
127	Itú	Externa	Externa
128	Guararema	Externa	Externa
129	Roseira	Externa	Externa
