Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Total; 41 262 199 ; 20 077 873 ; 21 184 326 ; 39 585 251 ; 19 166 619 ; 20 418 632 ; 1 676 948 ;  911 254 ;  765 694 ;35;;;;;;;;
Mesorregiões;;;;;;;;;;;;;;;;;;
Araçatuba;  695 801 ;  346 813 ;  348 988 ;  642 948 ;  316 428 ;  326 520 ;  52 853 ;  30 385 ;  22 468 ;3503;;;;;;;;
Araraquara;  810 926 ;  399 973 ;  410 953 ;  771 043 ;  378 879 ;  392 164 ;  39 883 ;  21 094 ;  18 789 ;3505;;;;;;;;
Assis;  553 778 ;  272 917 ;  280 861 ;  504 994 ;  245 776 ;  259 218 ;  48 784 ;  27 141 ;  21 643 ;3510;;;;;;;;
Bauru; 1 454 111 ;  722 744 ;  731 367 ; 1 355 733 ;  663 296 ;  692 437 ;  98 378 ;  59 448 ;  38 930 ;3504;;;;;;;;
Campinas; 3 785 620 ; 1 864 856 ; 1 920 764 ; 3 603 873 ; 1 768 187 ; 1 835 686 ;  181 747 ;  96 669 ;  85 078 ;3507;;;;;;;;
Itapetininga;  824 453 ;  414 027 ;  410 426 ;  674 455 ;  332 146 ;  342 309 ;  149 998 ;  81 881 ;  68 117 ;3511;;;;;;;;
Litoral Sul Paulista;  462 390 ;  229 711 ;  232 679 ;  383 712 ;  187 845 ;  195 867 ;  78 678 ;  41 866 ;  36 812 ;3514;;;;;;;;
Macro Metropolitana Paulista; 2 644 519 ; 1 309 281 ; 1 335 238 ; 2 390 832 ; 1 176 322 ; 1 214 510 ;  253 687 ;  132 959 ;  120 728 ;3512;;;;;;;;
Marília;  440 058 ;  214 833 ;  225 225 ;  406 370 ;  196 401 ;  209 969 ;  33 688 ;  18 432 ;  15 256 ;3509;;;;;;;;
Metropolitana de São Paulo; 21 154 988 ; 10 135 876 ; 11 019 112 ; 20 928 125 ; 10 017 473 ; 10 910 652 ;  226 863 ;  118 403 ;  108 460 ;3515;;;;;;;;
Piracicaba; 1 377 257 ;  680 887 ;  696 370 ; 1 316 382 ;  648 729 ;  667 653 ;  60 875 ;  32 158 ;  28 717 ;3506;;;;;;;;
Presidente Prudente;  848 124 ;  424 629 ;  423 495 ;  752 162 ;  365 859 ;  386 303 ;  95 962 ;  58 770 ;  37 192 ;3508;;;;;;;;
