CHAVE DOM	ZONA	DOMIC	NUM_FAM	TIPO_IMÓVEL	Nº_CÔMODOS	ESGOTO	AGUA	CONSUMO	RADIO	TV	MAQ_LAV	GELADEIR	CELULAR	TEL_FIXO	MICRO	MICRO_IN	MOTO	AUTO	QTE_FAM	TIPO_DOM	COND_MOR	TMP_CID	TMP_DOM	FAT_EXP DOM		
1-1-1	01	001	1	Apartamento	10	Rede pública	Rede pública	98	1	3	1	1	2	1	1	1	0	1	1	Particular	Própria	50	20	49,73		
1-8-1	01	008	1	Apartamento	6	Rede pública	Rede pública	75	1	1	1	1	1	1	2	1	0	1	1	Particular	Própria	34	7	49,73		
1-14-1	01	014	1	Casa de alvenaria	5	Rede pública	Rede pública	55	1	2	2	1	2	0	0	0	0	2	1	Particular	Alugada	30	6	49,73		
1-20-1	01	020	1	Apartamento	5	Rede pública	Rede pública	55	1	2	1	1	1	1	1	1	0	1	1	Particular	Própria	42	4	49,73		
1-21-1	01	021	1	Apartamento	5	Rede pública	Bica	NI	1	2	1	1	3	0	0	3	0	0	1	Particular	Alugada	1	1	49,73		
1-22-1	01	022	1	Apartamento	5	Rede pública	Rede pública	130	1	2	1	1	3	1	0	1	1	2	1	Particular	Própria	30	6	49,73		
1-23-1	01	023	1	Apartamento	3	Rede pública	Rede pública	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Alugada	28	14	49,73		
1-24-1	01	024	1	Apartamento	5	Rede pública	Rede pública	85	1	1	1	1	2	1	0	2	0	0	1	Particular	Alugada	3	2	49,73		
1-25-1	01	025	1	Apartamento	4	Rede pública	Rede pública	55	1	1	1	1	1	1	0	1	0	1	1	Particular	Alugada	2	2	49,73		
1-26-1	01	026	1	Apartamento	4	Rede pública	Rede pública	36	1	1	1	1	1	0	0	0	0	1	1	Particular	Alugada	30	0	49,73		
1-27-1	01	027	1	Apartamento	5	Rede pública	Rede pública	75	1	1	1	1	2	1	0	1	0	1	1	Particular	Alugada	1	1	49,73		
1-28-1	01	028	1	Apartamento	4	Rede pública	Rede pública	60	0	1	0	1	1	0	0	0	0	1	1	Particular	Alugada	16	16	49,73		
1-29-1	01	029	1	Apartamento	5	Rede pública	Rede pública	85	1	1	1	1	1	0	0	1	1	0	1	Particular	Alugada	2	1	49,73		
1-30-1	01	030	1	Casa de alvenaria	6	Rede pública	Rede pública	50	1	2	1	1	2	1	1	1	0	1	1	Particular	Própria	51	30	49,73		
1-31-1	01	031	1	Casa de alvenaria	8	Rede pública	Rede pública	95	2	1	1	1	1	1	1	1	0	1	1	Particular	Própria	50	19	49,73		
1-37-1	01	037	1	Apartamento	9	Rede pública	Rede pública	90	1	0	0	0	5	0	0	1	0	0	1	Coletivo	Alugada	0	0	49,73		
1-38-1	01	038	1	Apartamento	6	Rede pública	Rede pública	80	1	2	1	1	2	1	0	1	0	1	1	Particular	Própria	60	20	49,73		
1-39-1	01	039	1	Casa de alvenaria	12	Rede pública	Rede pública	115	1	2	1	1	3	1	1	1	0	1	1	Particular	Própria	45	43	49,73		
1-41-1	01	041	1	Apartamento	6	Rede pública	Rede pública	125	0	1	1	1	1	0	1	1	0	0	1	Particular	Própria	45	32	49,73		
1-42-1	01	042	1	Apartamento	6	Rede pública	Rede pública	45	1	3	1	1	3	1	1	1	0	1	1	Particular	Alugada	36	5	49,73		
1-51-1	01	051	1	Apartamento	3	Rede pública	Rede pública	50	1	2	1	1	2	2	0	2	0	0	1	Particular	Alugada	20	9	49,73		
1-59-1	01	059	1	Apartamento	7	Rede pública	Rede pública	150	1	2	1	1	1	1	1	1	0	0	1	Particular	Alugada	72	8	49,73		
1-61-1	01	061	1	Casa de alvenaria	8	Rede pública	Rede pública	70	1	2	1	1	0	1	0	0	0	0	1	Particular	Própria	45	33	49,73		
1-63-1	01	063	1	Casa de alvenaria	4	Rede pública	Rede pública	60	1	1	1	1	3	1	1	0	0	1	1	Particular	Alugada	12	6	49,73		
1-65-1	01	065	1	Apartamento	10	Rede pública	Rede pública	250	1	1	1	1	0	1	0	0	0	0	1	Particular	Própria	20	4	49,73		
1-69-1	01	069	1	Apartamento	7	Rede pública	Rede pública	80	1	2	1	1	2	1	1	1	0	1	1	Particular	Própria	25	20	49,73		
1-85-1	01	085	1	Apartamento	5	Rede pública	Rede pública	NI	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	21	11	49,73		
1-86-1	01	086	1	Apartamento	5	Rede pública	Rede pública	30	1	4	1	1	4	2	0	2	0	1	1	Particular	Própria	24	23	49,73		
1-87-1	01	087	1	Apartamento	5	Rede pública	Rede pública	130	1	1	1	1	3	1	2	2	0	2	1	Particular	Própria	2	0	49,73		
1-89-1	01	089	1	Apartamento	9	Rede pública	Rede pública	148	2	4	1	1	5	0	1	1	0	1	1	Particular	Alugada	47	3	49,73		
1-90-1	01	090	1	Casa de alvenaria	5	Rede pública	Rede pública	150	1	1	1	1	1	1	1	1	0	2	1	Particular	Alugada	22	1	49,73		
1-93-1	01	093	1	Apartamento	6	Rede pública	Rede pública	39	0	1	0	1	2	0	1	1	0	1	1	Particular	Própria	3	3	49,73		
1-94-1	01	094	1	Apartamento	12	Rede pública	Rede pública	62	3	1	1	1	1	2	1	1	0	0	1	Particular	Própria	46	4	49,73		
1-95-1	01	095	1	Apartamento	9	Rede pública	Rede pública	154	3	3	1	1	5	1	1	1	0	0	1	Particular	Própria	29	7	49,73		
1-96-1	01	096	1	Apartamento	5	Rede pública	Rede pública	75	1	2	1	1	1	1	0	1	1	1	1	Particular	Alugada	37	3	49,73		
1-97-1	01	097	1	Apartamento	8	Rede pública	Rede pública	54	1	2	1	1	1	1	0	0	0	1	1	Particular	Própria	30	25	49,73		
1-99-1	01	099	1	Apartamento	9	Rede pública	Rede pública	150	2	3	1	2	8	1	4	4	0	2	1	Particular	Própria	50	12	49,73		
1-100-1	01	100	1	Apartamento	7	Rede pública	Rede pública	35	1	5	1	1	4	1	1	2	0	2	1	Particular	Própria	40	25	49,73		
1-102-1	01	102	1	Apartamento	10	Rede pública	Rede pública	55	0	1	1	1	2	0	1	1	0	0	1	Particular	Própria	38	3	49,73		
1-106-1	01	106	1	Casa de alvenaria	8	Rede pública	Rede pública	60	1	2	1	1	3	1	1	1	0	1	1	Particular	Própria	35	28	49,73		
1-107-1	01	107	1	Casa de alvenaria	4	Rede pública	Rede pública	77	0	1	0	1	1	0	0	0	0	1	1	Particular	Própria	31	7	49,73		
1-109-1	01	109	1	Casa de alvenaria	6	Rede pública	Rede pública	138	1	3	1	1	1	1	2	2	0	1	1	Particular	Própria	25	23	49,73		
1-110-1	01	110	1	Apartamento	6	Rede pública	Rede pública	95	1	2	1	1	2	0	0	1	0	2	1	Particular	Alugada	5	2	49,73		
1-111-1	01	111	1	Apartamento	8	Rede pública	Rede pública	90	0	2	1	1	2	1	0	2	0	1	1	Particular	Própria	15	10	49,73		
1-112-1	01	112	1	Casa de alvenaria	8	Rede pública	Rede pública	145	2	2	1	1	2	1	0	1	0	2	1	Particular	Própria	46	29	49,73		
