lon;lat;MacroZona
-45,989436;-23,1131914;Extremo Norte
-45,9779651;-23,0964901;Extremo Norte
-45,951097;-22,910137;Extremo Norte
-45,962029;-22,908516;Extremo Norte
-45,8911586;-23,1678922;Norte
-45,8811724;-23,1772765;Centro
-45,8787667;-23,1786961;Centro
-45,8782848;-23,1761667;Centro
-45,8809725;-23,1773763;Centro
-45,912408;-23,112221;Extremo Norte
-45,9129327;-23,111361;Extremo Norte
-45,9372261;-23,1104825;Extremo Norte
-45,9384145;-23,0857112;Extremo Norte
-45,934222;-23,109648;Extremo Norte
-45,9333313;-23,1092873;Extremo Norte
-45,9367561;-23,1104637;Extremo Norte
-45,8623262;-23,2711182;Sul
-45,8735662;-23,2682091;Sul
-45,862147;-23,270826;Sul
-45,869462;-23,264897;Sul
-45,8644223;-23,273423;Sul
-45,8351988;-23,2785208;Sudeste
-45,874651;-23,1838889;Centro
-45,8750482;-23,1842435;Centro
-45,8733556;-23,1884748;Centro
-45,8772369;-23,1884697;Centro
-45,8762452;-23,1903989;Centro
-45,8746771;-23,1831537;Centro
-45,8775204;-23,1899815;Centro
-45,8668856;-23,1909604;Centro
-45,8691824;-23,187333;Centro
-45,8672056;-23,1895621;Centro
-45,8586565;-23,1801524;Leste
-45,8596338;-23,1818864;Leste
-45,8603269;-23,1854137;Leste
-45,860566;-23,1835801;Leste
-45,8588587;-23,1833488;Leste
-45,8594224;-23,1801922;Leste
-45,8753055;-23,2108714;Sudeste
-45,8694857;-23,2033111;Sudeste
-45,858692;-23,207609;Sudeste
-45,879255;-23,1985716;Centro
-45,882846;-23,200823;Centro
-45,8814189;-23,1998123;Centro
-45,8709128;-23,1849565;Centro
-45,874043;-23,1811059;Centro
-45,8726297;-23,1844678;Centro
-45,8742045;-23,1828797;Centro
-45,8738649;-23,1817371;Centro
-45,8798089;-23,1934482;Centro
-45,887352;-23,230763;Sul
-45,8844647;-23,2335697;Sul
-45,8875721;-23,2279558;Sul
-45,8840802;-23,2351753;Sul
-45,8839608;-23,2351824;Sul
-45,88848;-23,2296066;Sul
-45,8817924;-23,2330916;Sul
-45,8881821;-23,2308723;Sul
-45,8905735;-23,2205431;Sul
-45,885976;-23,22084;Sul
-45,889193;-23,220108;Sul
-45,8856564;-23,2245166;Sul
-45,8843189;-23,2258887;Sul
-45,8822489;-23,2263384;Sul
-45,8826532;-23,2232945;Sul
-45,8822874;-23,2275254;Sul
-45,8834858;-23,2224956;Sul
-45,880995;-23,2283292;Sul
-45,8851143;-23,2268852;Sul
-45,8882738;-23,2244105;Sul
-45,888072;-23,224591;Sul
-45,886031;-23,210284;Sul
-45,8736657;-23,226651;Sul
-45,8851018;-23,2133101;Sul
