"","ids","labels","parents","nomes"
"1","CS Brasil","CS<br>Brasil<br>33","",""
"2","Expresso Maringá","Expresso<br>Maringá<br>37","",""
"3","Saens Peña","Saens<br>Peña<br>33","",""
"4","Alternativo","Alternativo<br>14","",""
"5","CS Brasil - 103","103","CS Brasil","Costinha / Terminal Central"
"6","104","104","CS Brasil","Vargem Grande / Terminal Central"
"7","108","108","CS Brasil","Canindu - Vl. Cândida / Terminal Central"
"8","112","112","CS Brasil","Vl. Terezinha / Cta"
"9","116","116","CS Brasil","Taquari / Rodoviária"
"10","118","118","CS Brasil","Sertãozinho – Via Vila Cândida / Terminal Central"
"11","124","124","CS Brasil","Buquirinha Ii / João Guilhermino"
"12","200","200","CS Brasil","Parque Tecnológico / Terminal Central"
"13","201","201","CS Brasil","Bairrinho / Terminal Central"
"14","202","202","CS Brasil","Bom Retiro / Terminal Central"
"15","205","205","CS Brasil","Eugenio De Melo - Galo Branco / Praça Afonso Pena"
"16","211","211","CS Brasil","Jd. Califórnia - Via Vista Verde / Santana – Via Vl. Cristina"
"17","215","215","CS Brasil","Tesouro / Aquárius"
"18","216","216","CS Brasil","Santa Maria - Av. Tancredo Neves / Av. Eng. Francisco José Longo"
"19","222","222","CS Brasil","Galo Branco / Jd. Aquárius"
"20","225","225","CS Brasil","Galo Branco / Av. São José - Semi Expressa"
"21","231","231","CS Brasil","Tesouro / Vl. Dirce"
"22","232","232","CS Brasil","Novo Horizonte / Av. São José"
"23","237","237","CS Brasil","Novo Horizonte / Aquárius"
"24","240","240","CS Brasil","Novo Horizonte / Campo dos Alemães"
"25","242","242","CS Brasil","Majestic / Praça Afonso Pena"
"26","243","243","CS Brasil","Santa Maria - Jd. São José - Coqueiro / Av. Eng. Francisco José Longo"
"27","244","244","CS Brasil","Jd. São José - Frei Galvão - Santa Inês / Terminal Central"
"28","245","245","CS Brasil","Praça 1º De Maio / Centro"
"29","246","246","CS Brasil","Alimentadora Paineiras - Dom Bosco - Santa Helena / Tancredo Neves"
"30","250","250","CS Brasil","Novo Horizonte Corujão"
"31","251","251","CS Brasil","Eugênio De Melo Corujão"
"32","130A","130A","CS Brasil","São Francisco Xavier / Cachoeira Do Roncador"
"33","130B","130B","CS Brasil","Cachoeira Do Roncador / São José Dos Campos"
"34","204A","204A","CS Brasil","Novo Horizonte - Pedro Álvares Cabral / Terminal Central"
"35","204B","204B","CS Brasil","Novo Horizonte / Av. Eng. Francisco José Longo"
"36","206A","206A","CS Brasil","Santa Inês - Pedro Álvares Cabral / Terminal Central"
"37","CS Brasil - 206B","206B","CS Brasil","Santa Inês / Av. Eng. Francisco José Longo"
"38","Expresso Maringá - 208","208","Expresso Maringá","Aeroporto / Terminal Central"
"39","209","209","Expresso Maringá","Jd. Uirá / Terminal Central"
"40","210","210","Expresso Maringá","Diamante / Terminal Central"
"41","212","212","Expresso Maringá","Putim - Av. Dos Astronautas / Terminal Central"
"42","219","219","Expresso Maringá","Santa Luzia / Terminal Central"
"43","229","229","Expresso Maringá","Res. São Francisco / Centro - Direto"
"44","252","252","Expresso Maringá","Jd. Uirá Corujão"
"45","302","302","Expresso Maringá","Putim Tamoios / Praça Afonso Pena"
"46","305","305","Expresso Maringá","São Judas Tadeu / Terminal Central"
"47","307","307","Expresso Maringá","Morumbi / Terminal Central"
"48","310","310","Expresso Maringá","Res. União / Terminal Central"
"49","315","315","Expresso Maringá","Pq. Interlagos / Terminal Central"
"50","316","316","Expresso Maringá","Torrão de Ouro / Terminal Central"
"51","317","317","Expresso Maringá","Campo dos Alemães / Rodoviária"
"52","318","318","Expresso Maringá","Dom Pedro I / Terminal Central"
"53","319","319","Expresso Maringá","Dom Pedro I / Rodoviária"
"54","322","322","Expresso Maringá","Capuava / Terminal Central"
"55","323","323","Expresso Maringá","Campo dos Alemães / Terminal Central"
