;Região;População;Área da macrozona (km²);Densidade demográfica (hab/km²);Renda média (R$);Ano do censo;Nível de ensino;Matrículas;Setor;Trabalhadores
1;Centro;72115;18,68;3860,55;1795,00;2016;Superior;1536;Administração pública;8091
2;Centro;72115;18,68;3860,55;1795,00;2016;Superior;1536;Agricultura;239
3;Centro;72115;18,68;3860,55;1795,00;2016;Superior;1536;Comércio e serviços;48706
4;Centro;72115;18,68;3860,55;1795,00;2016;Superior;1536;Indústria;4606
5;Centro;72115;18,68;3860,55;1795,00;2018;Básico;26229;Administração pública;8091
6;Centro;72115;18,68;3860,55;1795,00;2018;Básico;26229;Agricultura;239
7;Centro;72115;18,68;3860,55;1795,00;2018;Básico;26229;Comércio e serviços;48706
8;Centro;72115;18,68;3860,55;1795,00;2018;Básico;26229;Indústria;4606
9;Extremo Norte;15514;696,47;22,28;574,00;2018;Básico;2375;Agricultura;63
10;Extremo Norte;15514;696,47;22,28;574,00;2018;Básico;2375;Comércio e serviços;169
11;Extremo Norte;15514;696,47;22,28;574,00;2018;Básico;2375;Indústria;5
12;Leste;160990;134,69;1195,26;696,00;2016;Superior;10982;Administração pública;103
13;Leste;160990;134,69;1195,26;696,00;2016;Superior;10982;Agricultura;290
14;Leste;160990;134,69;1195,26;696,00;2016;Superior;10982;Comércio e serviços;16717
15;Leste;160990;134,69;1195,26;696,00;2016;Superior;10982;Indústria;559
16;Leste;160990;134,69;1195,26;696,00;2018;Básico;39970;Administração pública;103
17;Leste;160990;134,69;1195,26;696,00;2018;Básico;39970;Agricultura;290
18;Leste;160990;134,69;1195,26;696,00;2018;Básico;39970;Comércio e serviços;16717
19;Leste;160990;134,69;1195,26;696,00;2018;Básico;39970;Indústria;559
20;Norte;59800;63,73;938,33;626,00;2018;Básico;15913;Administração pública;102
21;Norte;59800;63,73;938,33;626,00;2018;Básico;15913;Agricultura;23
22;Norte;59800;63,73;938,33;626,00;2018;Básico;15913;Comércio e serviços;4145
23;Norte;59800;63,73;938,33;626,00;2018;Básico;15913;Indústria;402
24;Oeste;41163;44,01;935,31;2519,00;2016;Superior;464;Agricultura;51
25;Oeste;41163;44,01;935,31;2519,00;2016;Superior;464;Comércio e serviços;20085
26;Oeste;41163;44,01;935,31;2519,00;2016;Superior;464;Indústria;604
27;Oeste;41163;44,01;935,31;2519,00;2018;Básico;5489;Agricultura;51
28;Oeste;41163;44,01;935,31;2519,00;2018;Básico;5489;Comércio e serviços;20085
29;Oeste;41163;44,01;935,31;2519,00;2018;Básico;5489;Indústria;604
30;Sudeste;46803;84,70;552,57;653,00;2016;Superior;855;Administração pública;4065
31;Sudeste;46803;84,70;552,57;653,00;2016;Superior;855;Agricultura;6
32;Sudeste;46803;84,70;552,57;653,00;2016;Superior;855;Comércio e serviços;6386
33;Sudeste;46803;84,70;552,57;653,00;2016;Superior;855;Indústria;361
34;Sudeste;46803;84,70;552,57;653,00;2018;Básico;12626;Administração pública;4065
35;Sudeste;46803;84,70;552,57;653,00;2018;Básico;12626;Agricultura;6
36;Sudeste;46803;84,70;552,57;653,00;2018;Básico;12626;Comércio e serviços;6386
37;Sudeste;46803;84,70;552,57;653,00;2018;Básico;12626;Indústria;361
38;Sul;233536;56,51;4132,65;934,00;2016;Superior;12768;Administração pública;1498
39;Sul;233536;56,51;4132,65;934,00;2016;Superior;12768;Agricultura;98
40;Sul;233536;56,51;4132,65;934,00;2016;Superior;12768;Comércio e serviços;37164
41;Sul;233536;56,51;4132,65;934,00;2016;Superior;12768;Indústria;3302
42;Sul;233536;56,51;4132,65;934,00;2018;Básico;52109;Administração pública;1498
43;Sul;233536;56,51;4132,65;934,00;2018;Básico;52109;Agricultura;98
44;Sul;233536;56,51;4132,65;934,00;2018;Básico;52109;Comércio e serviços;37164
45;Sul;233536;56,51;4132,65;934,00;2018;Básico;52109;Indústria;3302
46;Extremo Norte;15514;696,47;22,28;574,00;2016;Superior;NA;Agricultura;63
47;Extremo Norte;15514;696,47;22,28;574,00;2016;Superior;NA;Comércio e serviços;169
48;Extremo Norte;15514;696,47;22,28;574,00;2016;Superior;NA;Indústria;5
49;Norte;59800;63,73;938,33;626,00;2016;Superior;NA;Administração pública;102
50;Norte;59800;63,73;938,33;626,00;2016;Superior;NA;Agricultura;23
51;Norte;59800;63,73;938,33;626,00;2016;Superior;NA;Comércio e serviços;4145
52;Norte;59800;63,73;938,33;626,00;2016;Superior;NA;Indústria;402
53;Extremo Norte;15514;696,47;22,28;574,00;2018;Fundamental;NA;Administração pública;NA
54;Oeste;41163;44,01;935,31;2519,00;2018;Superior;NA;Administração pública;NA
55;Extremo Norte;15514;696,47;22,28;574,00;2016;Superior;NA;Administração pública;NA
56;Oeste;41163;44,01;935,31;2519,00;2016;Superior;NA;Administração pública;NA
