Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
350010505000001;1;4;0;0;0;0;1;0;0;0;0
350010505000002;1;8;0;1;3;0;9;0;1;3;0
350010505000003;1;3;0;0;2;0;6;0;0;0;0
350010505000004;1;13;0;1;4;0;16;0;1;0;0
350010505000005;1;15;0;2;0;0;15;0;1;1;0
350010505000006;1;13;0;2;1;0;11;0;1;1;0
350010505000007;1;6;0;0;2;0;11;0;0;0;0
350010505000008;1;19;1;1;1;0;15;1;0;1;0
350010505000009;1;8;0;0;1;0;13;0;1;0;0
350010505000010;1;10;0;0;5;0;9;0;0;4;0
350010505000011;1;15;0;0;5;0;19;0;0;3;0
350010505000012;1;16;0;0;2;0;18;0;0;0;0
350010505000013;1;9;0;0;1;0;7;0;0;1;0
350010505000014;1;23;0;1;6;0;15;0;0;5;0
350010505000015;1;11;0;0;3;0;9;0;0;7;0
350010505000016;1;14;0;0;5;0;22;0;0;14;0
350010505000017;1;19;0;0;18;0;16;0;0;14;0
350010505000018;1;16;0;0;1;0;12;0;1;1;0
350010505000019;1;20;1;0;6;0;17;0;0;1;0
350010505000020;1;16;0;0;1;0;16;0;0;6;0
350010505000021;1;7;0;0;2;0;8;0;0;0;0
350010505000022;1;17;0;0;2;0;8;0;1;0;0
350010505000023;1;14;0;0;7;0;21;0;0;3;0
350010505000024;1;10;0;0;1;0;12;0;0;1;0
350010505000025;1;12;0;0;1;0;13;0;0;0;0
350010505000026;1;6;0;1;0;0;11;0;1;0;0
350010505000027;1;17;0;0;7;0;17;0;0;4;0
350010505000028;1;30;0;0;6;0;20;0;0;4;0
350010505000029;1;23;8;0;8;0;20;2;0;7;0
350010505000030;1;23;0;0;2;0;16;1;0;1;0
350010505000031;1;33;1;1;15;0;24;0;0;7;0
350010505000032;1;0;X;X;X;X;X;X;X;X;X
350010505000033;1;32;0;0;7;0;19;0;0;6;0
350010505000034;1;8;0;0;0;0;8;0;0;1;0
350010505000035;1;16;4;0;8;0;19;7;0;2;0
350010505000036;1;11;0;0;0;0;8;0;0;3;0
350010505000037;1;17;0;0;2;0;13;0;0;4;0
350010505000038;1;14;0;0;3;0;10;0;0;0;0
350010505000039;1;13;0;0;4;0;15;0;0;0;0
350010505000041;1;1;0;0;0;0;3;0;0;0;0
350010505000042;1;7;0;0;1;0;12;0;0;0;0
350010505000043;3;0;0;0;0;0;2;0;0;0;0
350010505000044;1;19;0;0;5;0;26;0;0;5;0
350010505000045;3;1;X;X;X;X;X;X;X;X;X
350010505000048;3;6;0;0;1;0;0;0;0;0;0
350010505000049;8;1;0;0;2;0;1;0;0;0;0
350010505000050;8;2;0;0;0;0;1;0;0;2;0
350010505000051;1;0;0;0;0;0;0;0;0;0;0
350010505000052;8;5;0;0;1;0;4;0;0;1;0
350010505000053;8;2;0;0;0;0;1;0;0;1;0
350010505000054;8;6;0;0;2;0;2;0;0;1;0
350010505000055;8;3;0;0;1;0;4;0;0;0;0
350010505000056;8;0;X;X;X;X;X;X;X;X;X
350010505000057;8;3;0;0;0;0;2;0;0;0;0
350010505000058;8;0;0;0;0;0;4;0;0;0;0
350010505000059;8;2;0;0;1;0;4;0;0;0;0
350010505000060;8;1;0;0;0;0;5;0;0;1;0
350010505000061;8;3;0;0;1;0;4;0;0;1;0
350010505000062;1;4;0;0;0;0;3;0;1;1;0
350010505000063;1;9;0;0;0;0;0;0;0;0;0
350010505000066;1;0;0;0;0;0;3;0;0;0;0
350010505000067;1;12;0;0;2;0;7;0;0;3;0
350010505000068;1;0;X;X;X;X;X;X;X;X;X
350010505000069;1;0;0;0;0;0;0;0;0;0;0
350010505000070;2;0;X;X;X;X;X;X;X;X;X
350010505000071;1;0;0;0;0;0;0;0;0;0;0
350010505000073;1;7;0;0;1;0;12;0;0;3;0
350010505000075;1;0;X;X;X;X;X;X;X;X;X
350010505000076;2;1;0;0;0;0;1;0;0;0;0
350010505000077;1;3;0;0;0;0;5;0;0;2;0
350010505000078;1;10;0;0;5;0;21;0;0;5;0
350010505000080;2;0;X;X;X;X;X;X;X;X;X
350010505000081;1;12;0;0;1;0;12;0;0;4;0
350010505000083;1;4;0;0;0;0;3;0;0;0;0
350010505000084;1;0;0;0;0;0;0;0;0;0;0
350010505000085;2;0;0;0;0;0;1;0;0;0;0
350020405000001;1;23;0;0;6;0;19;0;0;4;0
350020405000002;1;18;0;0;3;0;15;0;0;3;0
350020405000003;1;12;0;0;2;0;18;0;0;0;0
350020405000004;1;29;0;0;1;0;22;0;0;2;0
350020405000005;3;2;0;0;0;0;0;0;0;0;0
350020405000007;8;1;0;0;1;0;1;0;0;2;0
350020405000008;8;1;0;0;0;0;0;0;0;0;0
350020405000009;8;6;0;0;1;0;0;0;0;2;0
350030305000001;1;5;0;0;0;0;6;0;0;0;0
350030305000002;1;7;0;0;0;0;7;0;1;0;0
350030305000003;1;15;0;0;5;0;11;0;0;0;0
350030305000004;1;7;0;0;1;0;11;0;1;1;0
350030305000005;1;20;0;0;2;0;8;1;0;0;0
350030305000006;1;11;0;0;3;0;13;0;0;4;0
350030305000007;1;19;0;1;1;0;20;1;0;3;0
350030305000008;1;15;1;0;4;0;15;1;1;1;0
350030305000009;1;18;0;0;3;0;23;0;0;3;0
350030305000010;1;11;0;0;1;0;12;0;0;1;0
350030305000011;1;18;0;0;3;0;10;0;0;2;0
350030305000012;1;12;1;0;3;0;17;1;0;9;0
350030305000013;1;10;0;0;9;0;7;0;0;2;0
350030305000014;1;17;2;0;3;0;11;2;0;8;0
350030305000015;1;13;3;0;10;0;12;2;0;3;0
350030305000016;1;14;1;0;6;0;16;2;0;5;0
350030305000017;1;14;0;0;3;0;18;2;0;10;0
350030305000018;1;17;0;0;4;0;20;0;0;5;0
350030305000019;1;12;1;0;4;0;14;1;0;1;0
350030305000020;1;13;0;0;0;0;15;0;0;2;0
350030305000021;1;27;2;0;5;0;23;1;0;5;0
350030305000022;1;27;2;0;12;0;39;0;0;9;0
350030305000023;1;26;0;0;12;0;26;1;0;7;0
350030305000024;1;23;0;0;20;0;25;2;1;16;0
350030305000025;1;17;3;0;3;0;20;0;0;3;0
350030305000026;1;11;0;0;4;0;20;0;0;10;0
350030305000027;1;29;3;0;8;0;19;2;0;6;0
350030305000028;1;22;1;0;6;0;15;1;0;5;0
350030305000029;1;25;1;0;9;0;19;0;0;14;0
350030305000030;1;26;5;0;17;0;29;2;0;24;0
350030305000031;1;11;0;0;0;0;6;0;0;0;0
350030305000032;1;15;1;0;1;0;14;2;0;2;0
350030305000033;1;16;1;0;3;0;12;1;0;2;0
350030305000034;1;18;2;0;7;0;18;1;0;10;0
350030305000035;1;24;0;0;5;0;26;0;0;5;0
350030305000036;3;18;0;0;9;0;14;0;0;6;0
350030305000038;8;16;1;0;6;0;19;0;0;4;0
350030305000039;8;8;0;0;1;0;12;1;1;2;0
350030305000040;8;10;0;0;2;0;12;0;0;5;0
350030305000041;8;17;0;1;7;0;16;0;0;5;0
350030305000042;8;13;0;0;5;0;9;0;0;3;0
350030305000043;8;4;4;0;4;0;2;1;0;4;0
350030305000044;8;16;0;0;2;0;12;0;0;3;0
350030305000045;8;6;1;1;2;0;7;1;0;0;0
350030305000046;1;10;1;0;1;0;12;2;0;1;0
350030305000047;1;20;0;0;5;0;13;1;0;1;0
350030305000048;1;24;1;0;11;0;20;3;0;5;0
350030305000049;1;15;0;0;6;0;15;1;0;4;0
350030305000050;1;22;2;0;30;0;28;5;0;23;0
350030305000051;3;9;0;0;8;0;7;0;0;11;0
350030305000052;2;23;0;0;35;0;24;0;0;27;0
350040205000001;1;2;0;0;0;0;5;0;0;0;0
350040205000002;1;14;0;0;7;0;15;0;0;2;0
350040205000003;1;10;0;0;1;0;3;0;0;2;0
350040205000004;1;8;0;0;2;0;1;0;0;1;0
350040205000005;1;8;0;0;3;0;4;1;0;1;0
350040205000006;1;13;0;0;2;0;14;0;0;2;0
350040205000007;1;17;0;0;1;0;21;1;0;2;0
350040205000008;1;11;0;0;1;0;12;0;0;0;0
350040205000010;1;6;0;0;1;0;4;1;0;0;0
350040205000011;1;11;0;0;6;0;13;0;0;4;0
350040205000013;3;9;2;0;3;0;6;1;0;4;0
350040205000014;8;1;X;X;X;X;X;X;X;X;X
350040205000015;8;5;0;0;0;0;3;0;0;0;0
350040205000016;8;1;0;0;1;0;4;0;0;2;0
350040205000017;8;5;0;0;1;0;8;0;0;1;0
350040205000018;8;1;X;X;X;X;X;X;X;X;X
350040210000001;1;12;0;0;4;0;18;0;0;6;0
350040210000002;3;15;1;0;10;0;22;0;0;16;0
350040210000003;3;0;X;X;X;X;X;X;X;X;X
350040210000004;8;1;X;X;X;X;X;X;X;X;X
350040210000005;8;5;0;0;0;0;8;0;0;2;0
350050105000001;1;12;0;0;0;0;12;0;0;1;0
350050105000002;1;14;0;0;0;0;16;0;0;1;0
350050105000003;2;17;0;0;0;0;16;1;0;3;0
350050105000005;1;12;0;0;3;0;19;1;0;3;0
350050105000006;1;18;0;0;1;0;15;1;0;2;0
350050105000007;1;17;0;0;2;0;11;0;0;1;0
350050105000008;1;12;0;0;0;0;10;0;0;0;0
350050105000009;1;5;0;0;1;0;13;0;0;3;1
350050105000010;2;20;0;0;4;0;18;0;0;0;0
350050105000011;2;16;0;0;0;0;14;0;0;0;0
350050105000012;2;22;0;0;3;0;20;0;0;1;0
350050105000013;2;5;0;0;0;0;5;0;0;0;0
350050105000014;2;20;0;0;4;0;20;2;0;7;0
350050105000015;2;43;0;0;7;0;28;2;0;10;0
350050105000016;2;19;0;0;5;0;13;0;0;2;0
350050105000017;1;14;0;0;1;0;17;0;0;3;0
350050105000018;2;20;0;0;2;0;20;1;0;4;0
350050105000019;2;25;1;0;1;0;26;0;0;2;0
350050105000020;2;25;2;0;7;0;20;1;0;4;0
350050105000021;8;1;0;0;0;0;0;0;0;0;0
350050105000022;8;2;0;0;0;0;2;0;0;0;0
350050105000024;1;15;0;2;0;0;19;1;0;0;0
350050105000025;1;12;0;0;1;0;17;0;0;1;0
350050105000026;1;13;1;0;0;0;13;0;1;0;0
350050105000027;2;12;1;0;0;0;9;0;0;0;0
350050105000028;2;20;2;0;4;0;19;0;0;1;0
350050105000029;1;15;0;0;2;0;6;0;0;3;0
350050105000030;2;28;0;0;3;0;19;0;0;2;0
350055005000001;1;14;0;1;2;0;10;0;1;2;0
350055005000002;1;8;0;0;2;0;20;0;1;1;0
350055005000003;1;10;0;0;0;0;5;1;0;2;0
350055005000004;1;21;0;0;1;0;18;0;0;5;0
350055005000005;1;28;0;0;3;0;20;0;0;5;0
350055005000006;1;13;0;0;2;0;9;1;0;2;0
350055005000007;1;13;0;0;2;0;8;0;0;2;0
350055005000008;3;1;0;0;0;0;1;0;0;0;0
350055005000009;3;11;1;0;2;0;7;1;0;3;0
350055005000012;3;0;X;X;X;X;X;X;X;X;X
350055005000013;3;0;X;X;X;X;X;X;X;X;X
350055005000014;3;0;0;0;0;0;1;0;0;0;0
350055005000015;3;0;X;X;X;X;X;X;X;X;X
350055005000016;8;12;0;0;3;0;13;0;0;1;0
350055005000017;8;16;0;0;6;0;14;1;1;6;0
350055005000018;8;0;0;0;0;0;2;0;0;0;0
350055005000019;8;6;0;0;3;0;7;0;0;0;0
350055005000021;8;7;1;0;2;0;6;0;0;0;0
350060005000001;1;11;0;0;1;0;13;0;0;1;0
350060005000002;1;7;0;0;0;0;9;0;0;1;0
350060005000003;1;8;1;0;1;0;13;0;0;1;0
350060005000004;1;10;0;0;0;0;2;0;0;0;0
350060005000005;1;7;0;0;0;0;2;0;0;1;0
350060005000006;1;9;0;0;1;0;6;1;0;2;0
350060005000007;1;5;0;0;1;0;2;0;0;0;0
350070905000001;1;10;0;0;1;0;9;0;0;1;0
350070905000002;1;18;1;0;2;0;23;0;0;2;0
350070905000003;1;8;0;0;0;0;14;1;0;1;0
350070905000004;1;7;0;0;1;0;11;0;0;3;0
350070905000005;1;13;1;0;5;0;16;0;0;3;0
350070905000006;1;15;0;0;7;0;9;0;0;2;0
350070905000007;1;23;1;0;6;0;15;0;0;5;0
350070905000008;1;19;0;0;11;0;29;0;0;9;0
350070905000009;2;11;0;0;10;0;10;1;0;6;0
350070905000010;1;18;0;0;7;0;20;0;0;6;0
350070905000011;1;17;0;1;2;0;28;0;0;2;0
350070905000012;1;20;0;0;17;0;26;1;0;13;0
350070905000013;1;30;5;0;24;0;28;4;0;22;0
350070905000014;1;7;0;0;6;0;4;0;0;5;0
350070905000015;1;20;0;0;3;0;12;1;0;1;0
350070905000016;1;14;1;1;7;0;15;0;0;2;0
350070905000017;1;18;0;0;3;0;9;0;0;2;0
350070905000018;1;15;0;0;8;0;24;1;0;11;0
350070905000019;1;28;1;0;8;0;33;1;1;12;0
350070905000020;1;17;1;0;0;0;16;0;0;2;0
350070905000021;1;35;1;0;15;0;26;1;0;15;0
350070905000022;1;9;1;2;8;0;22;0;0;13;0
350070905000023;1;23;0;0;19;0;30;2;0;17;0
350070905000024;1;26;0;0;0;0;20;0;0;0;0
350070905000025;1;8;0;0;4;0;7;0;0;6;0
350070905000026;1;31;2;1;19;0;25;2;1;24;0
350070905000027;1;29;0;0;8;0;31;1;0;4;0
350070905000028;1;9;0;0;0;0;11;0;0;4;0
350070905000029;1;27;2;0;17;0;27;0;0;13;0
350070905000030;1;25;0;0;11;1;17;1;0;17;1
350070905000031;1;32;0;0;11;0;20;0;1;4;0
350070905000032;1;28;1;0;26;0;31;1;0;23;0
350070905000033;1;22;0;0;5;0;11;1;0;3;0
350070905000034;1;22;1;0;21;0;25;1;0;19;0
350070905000035;1;19;0;0;7;0;20;0;0;7;0
350070905000036;3;4;0;0;1;0;4;0;0;0;0
350070905000037;3;0;0;0;0;0;1;0;0;0;0
350070905000038;8;8;0;0;2;0;5;0;0;1;0
350070905000039;8;2;0;0;0;0;0;0;0;0;0
350070905000040;8;0;0;0;0;0;0;0;0;0;0
350070905000041;8;9;0;0;3;0;4;0;0;12;0
350070905000042;1;9;0;0;5;0;11;0;0;1;0
350070905000043;1;15;0;0;2;0;14;0;0;1;0
350070905000044;1;10;1;0;4;0;8;2;0;8;0
350070905000045;1;15;0;0;9;0;15;0;0;7;0
350070905000046;1;25;1;0;13;0;29;3;0;14;0
350070905000047;8;1;0;0;3;0;1;0;0;0;0
350070910000001;1;18;0;0;1;0;15;0;0;3;0
350070910000002;8;6;0;0;2;0;13;0;0;8;0
350070910000003;8;7;0;0;4;0;7;2;0;2;0
350075805000001;1;24;0;0;4;0;27;0;0;5;0
350075805000002;1;20;0;0;9;0;18;0;0;8;0
350075805000003;3;2;0;0;0;0;0;0;0;1;0
350075805000004;3;16;0;0;2;0;18;0;0;2;0
350075805000005;8;6;0;0;0;0;6;0;0;0;0
350075805000006;8;2;0;0;0;0;8;0;0;1;0
350075805000007;8;8;0;0;4;0;6;0;0;5;0
350075805000008;1;13;0;0;2;0;8;2;0;2;0
350075805000009;1;0;X;X;X;X;X;X;X;X;X
350075805000010;1;25;0;0;11;0;26;0;0;8;0
350075805000011;1;3;0;0;0;0;1;0;0;0;0
350075805000012;1;0;X;X;X;X;X;X;X;X;X
350075805000013;1;3;0;0;0;0;0;0;0;0;0
