Cod_setor;Situacao_setor;V001;V002;V003
350010505000001;1;17;0;0
350010505000002;1;62;0;0
350010505000003;1;26;0;0
350010505000004;1;68;0;0
350010505000005;1;69;0;0
350010505000006;1;80;0;0
350010505000007;1;50;0;0
350010505000008;1;92;0;0
350010505000009;1;50;0;0
350010505000010;1;81;0;0
350010505000011;1;88;0;0
350010505000012;1;81;0;0
350010505000013;1;50;0;0
350010505000014;1;114;0;0
350010505000015;1;84;0;0
350010505000016;1;119;0;0
350010505000017;1;129;0;0
350010505000018;1;71;0;0
350010505000019;1;104;0;0
350010505000020;1;84;0;0
350010505000021;1;62;0;0
350010505000022;1;82;0;0
350010505000023;1;98;0;0
350010505000024;1;62;0;0
350010505000025;1;60;0;0
350010505000026;1;49;0;0
350010505000027;1;98;0;0
350010505000028;1;163;0;0
350010505000029;1;176;0;0
350010505000030;1;110;0;0
350010505000031;1;166;0;0
350010505000032;1;0;X;X
350010505000033;1;165;0;1
350010505000034;1;39;0;0
350010505000035;1;119;0;0
350010505000036;1;47;0;0
350010505000037;1;76;0;0
350010505000038;1;51;0;0
350010505000039;1;58;0;0
350010505000041;1;9;0;0
350010505000042;1;40;0;0
350010505000043;3;3;0;0
350010505000044;1;128;0;0
350010505000045;3;4;X;X
350010505000048;3;22;0;0
350010505000049;8;20;0;0
350010505000050;8;15;0;0
350010505000051;1;0;0;0
350010505000052;8;23;0;0
350010505000053;8;17;0;0
350010505000054;8;23;0;0
350010505000055;8;20;0;0
350010505000056;8;3;X;X
350010505000057;8;15;0;0
350010505000058;8;12;0;0
350010505000059;8;22;0;0
350010505000060;8;18;0;0
350010505000061;8;17;0;0
350010505000062;1;31;0;0
350010505000063;1;26;0;0
350010505000066;1;6;0;0
350010505000067;1;52;0;0
350010505000068;1;1;X;X
350010505000069;1;1;0;0
350010505000070;2;0;X;X
350010505000071;1;1;0;0
350010505000073;1;57;0;0
350010505000075;1;0;X;X
350010505000076;2;3;0;0
350010505000077;1;41;0;0
350010505000078;1;105;0;0
350010505000080;2;0;X;X
350010505000081;1;81;0;0
350010505000083;1;17;0;0
350010505000084;1;1;0;0
350010505000085;2;4;0;0
350020405000001;1;107;0;0
350020405000002;1;98;0;0
350020405000003;1;107;0;1
350020405000004;1;121;0;0
350020405000005;3;6;0;0
350020405000007;8;15;0;0
350020405000008;8;13;0;0
350020405000009;8;21;0;0
350030305000001;1;21;0;0
350030305000002;1;36;0;0
350030305000003;1;63;0;0
350030305000004;1;60;0;0
350030305000005;1;69;0;0
350030305000006;1;80;0;0
350030305000007;1;99;0;0
350030305000008;1;88;0;0
350030305000009;1;93;0;0
350030305000010;1;64;0;0
350030305000011;1;80;0;0
350030305000012;1;87;0;0
350030305000013;1;79;0;0
350030305000014;1;80;0;0
350030305000015;1;91;0;0
350030305000016;1;97;0;0
350030305000017;1;106;0;0
350030305000018;1;110;0;0
350030305000019;1;78;0;0
350030305000020;1;62;0;0
350030305000021;1;133;1;0
350030305000022;1;181;1;0
350030305000023;1;156;0;0
350030305000024;1;208;0;0
350030305000025;1;92;0;0
350030305000026;1;109;0;0
350030305000027;1;150;0;0
350030305000028;1;108;0;0
350030305000029;1;145;0;0
350030305000030;1;212;2;0
350030305000031;1;40;0;0
350030305000032;1;78;0;0
350030305000033;1;106;0;0
350030305000034;1;141;0;1
350030305000035;1;115;0;0
350030305000036;3;100;0;0
350030305000038;8;100;0;0
350030305000039;8;62;0;0
350030305000040;8;76;0;0
350030305000041;8;93;0;0
350030305000042;8;65;0;0
350030305000043;8;36;0;0
350030305000044;8;69;0;0
350030305000045;8;45;1;0
350030305000046;1;75;0;0
350030305000047;1;90;1;0
350030305000048;1;130;1;0
350030305000049;1;103;0;0
350030305000050;1;261;0;1
350030305000051;3;96;0;0
350030305000052;2;238;0;0
350040205000001;1;19;0;0
350040205000002;1;79;0;0
350040205000003;1;34;0;0
350040205000004;1;25;0;0
350040205000005;1;53;0;0
350040205000006;1;67;0;0
350040205000007;1;79;0;0
350040205000008;1;48;0;0
350040205000010;1;40;0;0
350040205000011;1;82;0;0
350040205000013;3;61;0;0
350040205000014;8;2;X;X
350040205000015;8;27;0;0
350040205000016;8;16;0;0
350040205000017;8;29;0;0
350040205000018;8;3;X;X
350040210000001;1;107;0;0
350040210000002;3;140;0;0
350040210000003;3;5;X;X
350040210000004;8;5;X;X
350040210000005;8;45;0;0
350050105000001;1;59;0;0
350050105000002;1;62;0;0
350050105000003;2;104;0;0
350050105000005;1;103;0;0
350050105000006;1;102;0;0
350050105000007;1;73;1;0
350050105000008;1;57;0;0
350050105000009;1;44;0;0
350050105000010;2;90;0;0
350050105000011;2;68;0;0
350050105000012;2;107;0;0
350050105000013;2;25;0;0
350050105000014;2;121;0;0
350050105000015;2;196;0;0
350050105000016;2;93;0;0
350050105000017;1;83;0;0
350050105000018;2;115;0;0
350050105000019;2;130;1;0
350050105000020;2;143;0;0
350050105000021;8;4;0;0
350050105000022;8;14;0;0
350050105000024;1;87;0;0
350050105000025;1;70;0;0
350050105000026;1;67;1;0
350050105000027;2;60;0;0
350050105000028;2;89;0;0
350050105000029;1;80;1;0
350050105000030;2;123;0;0
350055005000001;1;59;0;0
350055005000002;1;75;0;0
350055005000003;1;53;0;0
350055005000004;1;106;0;0
350055005000005;1;147;0;0
350055005000006;1;58;0;0
350055005000007;1;46;0;0
350055005000008;3;13;0;0
350055005000009;3;58;0;0
350055005000012;3;0;X;X
350055005000013;3;6;X;X
350055005000014;3;1;0;0
350055005000015;3;0;X;X
350055005000016;8;70;0;0
350055005000017;8;92;0;0
350055005000018;8;4;0;0
350055005000019;8;30;0;0
350055005000021;8;29;0;0
350060005000001;1;53;0;0
350060005000002;1;35;0;0
350060005000003;1;71;0;0
350060005000004;1;19;0;0
350060005000005;1;36;0;0
350060005000006;1;34;0;0
350060005000007;1;34;0;0
350070905000001;1;58;0;0
350070905000002;1;91;0;0
350070905000003;1;51;0;0
350070905000004;1;52;0;0
350070905000005;1;83;0;0
350070905000006;1;75;0;0
350070905000007;1;118;0;0
350070905000008;1;137;0;0
350070905000009;2;103;0;0
350070905000010;1;112;0;0
350070905000011;1;110;0;0
350070905000012;1;193;0;0
350070905000013;1;265;1;0
350070905000014;1;49;0;0
350070905000015;1;82;0;0
350070905000016;1;95;0;0
350070905000017;1;69;0;0
350070905000018;1;146;0;0
350070905000019;1;189;0;0
350070905000020;1;80;0;0
350070905000021;1;204;0;0
350070905000022;1;144;0;0
350070905000023;1;204;0;0
350070905000024;1;120;0;0
350070905000025;1;45;0;0
350070905000026;1;227;0;0
350070905000027;1;158;1;0
350070905000028;1;47;0;0
350070905000029;1;211;0;0
350070905000030;1;176;0;0
350070905000031;1;161;0;0
350070905000032;1;178;0;0
350070905000033;1;94;0;0
350070905000034;1;199;0;0
350070905000035;1;144;0;0
350070905000036;3;23;0;0
350070905000037;3;4;0;0
350070905000038;8;43;0;0
350070905000039;8;6;0;0
350070905000040;8;0;0;0
350070905000041;8;63;0;0
350070905000042;1;60;0;0
350070905000043;1;87;0;0
350070905000044;1;90;0;0
350070905000045;1;98;0;0
350070905000046;1;180;0;0
350070905000047;8;17;0;0
350070910000001;1;81;0;0
350070910000002;8;66;0;0
350070910000003;8;61;0;0
350075805000001;1;137;0;0
350075805000002;1;153;0;0
350075805000003;3;4;0;0
350075805000004;3;85;0;0
350075805000005;8;43;0;0
350075805000006;8;21;0;0
350075805000007;8;56;0;0
350075805000008;1;59;0;0
350075805000009;1;0;X;X
350075805000010;1;163;0;0
350075805000011;1;9;0;0
350075805000012;1;2;X;X
350075805000013;1;6;0;0
350075805000014;1;17;0;0
350075805000015;8;89;0;0
350075805000016;3;8;0;0
350080805000001;1;39;0;0
350080805000002;1;68;0;0
350080805000003;1;85;0;0
350080805000004;1;39;0;1
350080805000005;1;98;0;0
350080805000006;2;79;0;0
350080805000007;2;5;0;0
350080805000008;2;6;0;0
350080805000009;8;8;0;0
350080805000010;8;10;0;1
350080805000011;8;10;0;0
350080805000012;8;7;0;0
350080805000013;8;13;0;0
350090705000001;1;103;1;0
350090705000002;1;162;0;0
350090705000003;1;129;0;0
350090705000004;8;69;0;0
