Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Mesorregiões;;;;;;;;Mesorregiões;;;;;;;;;;;;;;;
Araçatuba;  695 801 ;  41 260 ;  42 265 ;  51 145 ;  32 570 ;  21 379 ;  57 979 ;Araçatuba;  59 450 ;  57 435 ;  54 366 ;  102 099 ;  79 336 ;  52 474 ;  44 043 ;3503;;;;;;;
Araraquara;  810 926 ;  49 368 ;  51 758 ;  60 839 ;  38 189 ;  26 578 ;  72 862 ;Araraquara;  74 079 ;  68 535 ;  61 189 ;  114 680 ;  89 956 ;  54 941 ;  47 952 ;3505;;;;;;;
Assis;  553 778 ;  35 820 ;  37 818 ;  44 420 ;  27 743 ;  17 843 ;  46 363 ;Assis;  45 169 ;  42 818 ;  40 217 ;  77 503 ;  61 946 ;  41 381 ;  34 737 ;3510;;;;;;;
Bauru; 1 454 111 ;  92 128 ;  99 053 ;  115 071 ;  70 758 ;  47 152 ;  126 458 ;Bauru;  128 657 ;  120 628 ;  107 937 ;  199 424 ;  159 868 ;  99 147 ;  87 830 ;3504;;;;;;;
Campinas; 3 785 620 ;  233 459 ;  246 692 ;  289 947 ;  180 339 ;  122 238 ;  337 766 ;Campinas;  351 248 ;  325 983 ;  292 828 ;  540 134 ;  418 721 ;  246 321 ;  199 944 ;3507;;;;;;;
Itapetininga;  824 453 ;  57 536 ;  64 632 ;  76 159 ;  44 913 ;  28 013 ;  70 522 ;Itapetininga;  70 720 ;  66 470 ;  59 906 ;  107 370 ;  83 222 ;  52 952 ;  42 038 ;3511;;;;;;;
Litoral Sul Paulista;  462 390 ;  34 477 ;  38 471 ;  45 812 ;  25 465 ;  14 353 ;  33 659 ;Litoral Sul Paulista;  34 258 ;  35 083 ;  31 969 ;  57 471 ;  49 095 ;  35 364 ;  26 913 ;3514;;;;;;;
Macro Metropolitana Paulista; 2 644 519 ;  171 847 ;  185 454 ;  218 131 ;  131 282 ;  86 855 ;  234 263 ;Macro Metropolitana Paulista;  241 693 ;  226 567 ;  203 345 ;  367 802 ;  279 900 ;  166 552 ;  130 828 ;3512;;;;;;;
Marília;  440 058 ;  25 976 ;  28 002 ;  33 757 ;  21 056 ;  13 610 ;  36 831 ;Marília;  36 892 ;  35 509 ;  32 675 ;  61 810 ;  50 397 ;  33 365 ;  30 178 ;3509;;;;;;;
Metropolitana de São Paulo; 21 154 988 ; 1 404 947 ; 1 501 752 ; 1 730 670 ; 1 008 821 ;  660 842 ; 1 879 601 ;Metropolitana de São Paulo; 1 992 736 ; 1 874 736 ; 1 668 227 ; 2 923 226 ; 2 221 994 ; 1 282 636 ; 1 004 800 ;3515;;;;;;;
Piracicaba; 1 377 257 ;  86 372 ;  91 903 ;  107 885 ;  66 198 ;  45 161 ;  123 381 ;Piracicaba;  127 233 ;  116 314 ;  103 831 ;  191 348 ;  149 907 ;  91 269 ;  76 455 ;3506;;;;;;;
