"","População","Renda","Região"
"1",359,"675369","Centro"
"2",319,"267211","Centro"
"3",542,"327554","Centro"
"4",42,"0","Centro"
"5",435,"202936","Centro"
"6",389,"384039","Centro"
"7",470,"363956","Centro"
"8",92,"72573","Centro"
"9",510,"766830","Centro"
"10",405,"496282","Centro"
"11",454,"581316","Centro"
"12",574,"501470","Centro"
"13",296,"250397","Centro"
"14",463,"304069","Centro"
"15",646,"317017","Centro"
"16",497,"200077","Centro"
"17",436,"167350","Centro"
"18",476,"178375","Centro"
"19",721,"857015","Centro"
"20",706,"324944","Centro"
"21",667,"631199","Centro"
"22",654,"448864","Centro"
"23",611,"751373","Centro"
"24",438,"338450","Centro"
"25",241,"98852","Centro"
"26",162,"66376","Centro"
"27",262,"934069","Centro"
"28",270,"738520","Centro"
"29",215,"497605","Centro"
"30",512,"1165669","Centro"
"31",198,"631253","Centro"
"32",482,"1047944","Centro"
"33",131,"0","Centro"
"34",145,"0","Centro"
"35",354,"535513","Centro"
"36",206,"683981","Centro"
"37",414,"363912","Centro"
"38",535,"396772","Centro"
"39",513,"317415","Centro"
"40",914,"711645","Centro"
"41",836,"967379","Centro"
"42",637,"643507","Centro"
"43",445,"432011","Centro"
"44",481,"365096","Centro"
"45",530,"420008","Centro"
"46",325,"255775","Centro"
"47",681,"524145","Centro"
"48",751,"748653","Centro"
"49",258,"491717","Centro"
"50",289,"627848","Centro"
"51",648,"1467361","Centro"
"52",287,"554400","Centro"
"53",846,"3260642","Centro"
"54",401,"1419007","Centro"
"55",452,"1121338","Centro"
"56",924,"3004673","Centro"
"57",480,"1696898","Centro"
"58",580,"1596499","Centro"
"59",519,"994888","Centro"
"60",775,"3096063","Centro"
"61",775,"3096063","Oeste"
"62",724,"3101582","Centro"
"63",724,"3101582","Oeste"
"64",214,"122429","Norte"
"65",474,"133508","Norte"
"66",1302,"316621","Centro"
"67",617,"503297","Centro"
"68",617,"503297","Norte"
"69",300,"191805","Norte"
"70",706,"761616","Centro"
"71",706,"761616","Norte"
"72",176,"93208","Centro"
"73",176,"93208","Leste"
"74",176,"93208","Norte"
"75",833,"856620","Centro"
"76",833,"856620","Leste"
"77",819,"766484","Centro"
"78",612,"513933","Centro"
"79",739,"745735","Centro"
"80",615,"576104","Centro"
"81",672,"516060","Centro"
"82",420,"433464","Centro"
"83",537,"1054155","Centro"
"84",579,"1033584","Centro"
"85",277,"572379","Centro"
"86",158,"291766","Centro"
"87",205,"521248","Centro"
"88",316,"506700","Centro"
"89",595,"1333528","Centro"
"90",360,"629730","Centro"
"91",546,"1935536","Centro"
"92",546,"2135091","Centro"
"93",634,"2092933","Centro"
"94",528,"1959277","Centro"
"95",416,"1316407","Centro"
"96",392,"1341588","Centro"
"97",586,"2038701","Centro"
"98",416,"1141402","Centro"
"99",433,"1099912","Centro"
"100",750,"1761652","Centro"
"101",891,"1487836","Centro"
"102",599,"461034","Norte"
"103",716,"435754","Norte"
"104",689,"699344","Norte"
"105",374,"398035","Norte"
"106",812,"627908","Norte"
"107",921,"823670","Leste"
"108",647,"1126295","Leste"
"109",429,"403013","Leste"
"110",295,"310622","Leste"
"111",304,"295900","Leste"
"112",984,"1219142","Centro"
"113",984,"1219142","Leste"
"114",984,"1219142","Sudeste"
"115",1109,"836600","Centro"
"116",1109,"836600","Leste"
"117",671,"379765","Centro"
"118",1239,"1067093","Centro"
"119",632,"372169","Centro"
"120",601,"446350","Centro"
"121",565,"1591500","Sudeste"
"122",835,"646226","Centro"
"123",835,"646226","Sul"
"124",835,"646226","Sudeste"
"125",786,"2007814","Centro"
"126",438,"695109","Centro"
"127",330,"440054","Centro"
"128",487,"1597120","Centro"
"129",653,"1466199","Centro"
"130",543,"1348538","Centro"
"131",609,"1315149","Centro"
"132",464,"1888603","Centro"
"133",436,"1521128","Centro"
"134",250,"720090","Centro"
"135",250,"720090","Oeste"
"136",508,"2409218","Centro"
"137",508,"2409218","Oeste"
"138",715,"1519724","Centro"
"139",715,"1519724","Oeste"
"140",409,"290945","Norte"
"141",720,"471449","Norte"
"142",64,"0","Norte"
"143",576,"574626","Norte"
"144",671,"351412","Norte"
"145",846,"531905","Norte"
"146",742,"614962","Norte"
"147",671,"533752","Norte"
"148",689,"677613","Norte"
"149",671,"617866","Norte"
"150",715,"504829","Norte"
"151",713,"446582","Norte"
"152",686,"456116","Norte"
"153",651,"292723","Norte"
"154",620,"764312","Centro"
"155",620,"764312","Leste"
"156",584,"569491","Centro"
"157",584,"569491","Leste"
"158",790,"649350","Leste"
"159",904,"736602","Leste"
"160",578,"492734","Leste"
"161",588,"388351","Leste"
"162",537,"463128","Leste"
"163",513,"466881","Leste"
"164",719,"628476","Leste"
"165",451,"372305","Leste"
"166",550,"946445","Leste"
"167",377,"428955","Leste"
"168",327,"354263","Leste"
"169",263,"X","Leste"
"170",440,"514888","Leste"
"171",331,"411896","Leste"
"172",588,"752836","Leste"
"173",750,"374738","Centro"
"174",750,"374738","Leste"
"175",448,"288510","Centro"
"176",562,"843502","Sudeste"
"177",620,"443890","Sul"
"178",1025,"600442","Centro"
"179",1025,"600442","Oeste"
"180",1025,"600442","Sul"
"181",807,"2346250","Centro"
"182",535,"1130302","Centro"
"183",535,"1130302","Oeste"
"184",174,"369040","Centro"
"185",504,"1024313","Centro"
"186",480,"803505","Centro"
"187",352,"823414","Centro"
"188",352,"823414","Oeste"
"189",500,"1379179","Centro"
"190",269,"659693","Centro"
"191",337,"852217","Centro"
"192",906,"400239","Norte"
"193",489,"223973","Norte"
"194",810,"463074","Norte"
"195",502,"224582","Norte"
"196",495,"349569","Norte"
"197",1054,"669612","Norte"
"198",638,"445054","Leste"
"199",1092,"683245","Leste"
"200",768,"563822","Leste"
"201",493,"312414","Leste"
"202",703,"666142","Leste"
"203",959,"690068","Leste"
"204",540,"412639","Leste"
"205",521,"334659","Leste"
"206",603,"446811","Leste"
"207",717,"483218","Leste"
"208",839,"783454","Leste"
"209",648,"627175","Leste"
"210",1091,"762664","Leste"
"211",693,"609193","Leste"
"212",693,"609193","Sudeste"
"213",875,"830663","Leste"
"214",875,"830663","Sudeste"
"215",795,"766718","Leste"
"216",715,"614059","Leste"
"217",787,"471525","Centro"
"218",787,"471525","Sudeste"
"219",955,"621200","Centro"
"220",955,"621200","Sudeste"
"221",908,"692535","Sudeste"
"222",687,"642808","Sudeste"
"223",1049,"596726","Sudeste"
"224",381,"414968","Sul"
"225",381,"414968","Sudeste"
"226",440,"349667","Sul"
"227",440,"349667","Sudeste"
"228",444,"268461","Sul"
"229",544,"277280","Sul"
"230",708,"477639","Sul"
"231",289,"547765","Sul"
"232",326,"826430","Sul"
"233",241,"598746","Oeste"
"234",241,"598746","Sul"
"235",449,"782752","Sul"
"236",685,"1252972","Sul"
"237",661,"471001","Oeste"
"238",661,"471001","Sul"
"239",434,"570820","Sul"
"240",432,"560230","Sul"
"241",407,"563250","Sul"
"242",464,"280516","Sul"
"243",634,"2110096","Oeste"
"244",347,"1306212","Oeste"
"245",473,"2062824","Oeste"
"246",432,"1591302","Oeste"
"247",220,"510146","Oeste"
"248",303,"788702","Oeste"
"249",856,"1192996","Oeste"
"250",661,"794358","Oeste"
"251",682,"941513","Oeste"
"252",788,"1241906","Oeste"
"253",367,"347596","Oeste"
"254",1113,"917062","Oeste"
"255",951,"1342829","Oeste"
"256",717,"1209616","Oeste"
"257",751,"1334967","Oeste"
"258",763,"1135175","Oeste"
"259",767,"1004015","Oeste"
"260",741,"1317502","Oeste"
"261",694,"1410225","Oeste"
"262",690,"1135088","Oeste"
"263",794,"1778700","Oeste"
"264",823,"923090","Oeste"
"265",780,"1222408","Oeste"
"266",874,"1252796","Oeste"
"267",875,"1307665","Oeste"
"268",580,"2573575","Oeste"
"269",336,"1251941","Oeste"
"270",379,"1631973","Oeste"
"271",516,"2008831","Oeste"
"272",564,"1929007","Oeste"
"273",456,"1593700","Oeste"
"274",977,"553117","Norte"
"275",987,"474553","Norte"
"276",569,"192990","Norte"
"277",838,"495310","Norte"
"278",522,"465216","Leste"
"279",1028,"853863","Leste"
"280",960,"736817","Leste"
"281",963,"680700","Leste"
"282",870,"668670","Leste"
"283",547,"464828","Leste"
"284",618,"501719","Leste"
"285",922,"621940","Leste"
"286",873,"630958","Leste"
"287",540,"365544","Leste"
"288",1011,"1564936","Leste"
"289",704,"445944","Sudeste"
"290",656,"319647","Sudeste"
"291",967,"563111","Sudeste"
"292",545,"366645","Sudeste"
"293",858,"642203","Sudeste"
"294",1017,"619664","Sudeste"
"295",669,"350787","Sul"
"296",669,"350787","Sudeste"
"297",678,"260095","Sul"
"298",678,"260095","Sudeste"
"299",297,"177908","Sul"
"300",297,"177908","Sudeste"
"301",260,"124433","Sul"
"302",260,"124433","Sudeste"
"303",474,"305843","Sul"
"304",474,"305843","Sudeste"
"305",416,"517815","Sul"
"306",616,"448309","Sul"
"307",580,"406358","Sul"
"308",444,"389358","Sul"
"309",598,"420846","Sul"
"310",808,"434976","Sul"
"311",721,"427620","Sul"
"312",557,"422233","Sul"
"313",617,"397477","Sul"
"314",178,"299731","Sul"
"315",475,"462900","Sul"
"316",678,"841359","Sul"
"317",658,"867536","Sul"
"318",701,"492392","Oeste"
"319",701,"492392","Sul"
"320",794,"1097759","Sul"
"321",800,"643608","Sul"
"322",990,"1051007","Sul"
"323",505,"457176","Sul"
"324",614,"586088","Sul"
"325",789,"859110","Oeste"
"326",789,"859110","Sul"
"327",433,"270068","Norte"
"328",688,"455173","Norte"
"329",831,"461005","Norte"
"330",792,"523606","Norte"
"331",1119,"681062","Norte"
"332",799,"502930","Norte"
"333",950,"550105","Norte"
"334",712,"428681","Norte"
"335",1180,"647248","Norte"
"336",2567,"1844156","Norte"
"337",1196,"908104","Norte"
"338",1014,"701683","Norte"
"339",946,"615681","Norte"
"340",734,"399739","Norte"
"341",712,"475959","Norte"
"342",572,"201240","Norte"
"343",1131,"730487","Norte"
"344",517,"326219","Norte"
"345",426,"268988","Norte"
"346",576,"531347","Leste"
"347",641,"506972","Leste"
"348",586,"513966","Leste"
"349",402,"408758","Leste"
"350",970,"900848","Leste"
"351",1232,"1331065","Leste"
"352",501,"539651","Leste"
"353",504,"524241","Leste"
"354",1141,"1247530","Leste"
"355",672,"795239","Leste"
"356",799,"948123","Leste"
"357",613,"918774","Leste"
"358",535,"929199","Leste"
"359",1000,"1796579","Leste"
"360",576,"888680","Leste"
"361",522,"794380","Leste"
"362",487,"687442","Leste"
"363",1373,"682781","Leste"
"364",1373,"682781","Sudeste"
"365",1086,"553899","Leste"
"366",1044,"508661","Leste"
"367",627,"253004","Leste"
"368",817,"512254","Leste"
"369",839,"404571","Leste"
"370",630,"317074","Leste"
"371",616,"357242","Leste"
"372",972,"520438","Leste"
"373",750,"411775","Leste"
"374",473,"376303","Leste"
"375",439,"129234","Leste"
"376",1394,"633036","Leste"
"377",1394,"633036","Sudeste"
"378",1487,"768533","Leste"
"379",1803,"834699","Leste"
"380",1803,"834699","Sudeste"
"381",663,"443809","Leste"
"382",616,"361697","Sudeste"
"383",902,"531894","Sudeste"
"384",601,"516255","Sudeste"
"385",668,"527515","Sudeste"
"386",626,"383977","Sudeste"
"387",854,"788189","Sudeste"
"388",644,"497927","Sudeste"
"389",1409,"962387","Sudeste"
"390",856,"1433179","Sul"
"391",456,"346020","Sul"
"392",545,"334461","Sul"
"393",345,"352098","Sul"
"394",517,"574158","Sul"
"395",1104,"996545","Sul"
"396",642,"386407","Sul"
"397",251,"458025","Sul"
"398",683,"949482","Sul"
"399",733,"1075751","Sul"
"400",468,"720934","Sul"
"401",392,"515615","Sul"
"402",949,"751535","Sul"
"403",701,"831425","Sul"
"404",571,"413279","Sul"
"405",723,"549281","Sul"
"406",810,"868779","Sul"
"407",802,"1519644","Sul"
"408",413,"301192","Sul"
"409",734,"908030","Sul"
"410",783,"933163","Sul"
"411",1136,"578154","Norte"
"412",569,"298310","Norte"
"413",874,"454359","Norte"
"414",942,"451361","Norte"
"415",294,"146820","Sul"
"416",294,"146820","Sudeste"
"417",999,"438601","Sudeste"
"418",682,"306385","Sudeste"
"419",858,"370632","Sudeste"
"420",736,"343653","Sudeste"
"421",810,"365711","Sudeste"
"422",856,"639642","Sudeste"
"423",828,"525491","Sudeste"
