"","Região","Subsetor","Trabalhadores"
"1","Centro","Comércio varejista",11
"2","Centro","Comércio varejista",15
"3","Centro","Serviços médicos, odontológicos e veterinários",1
"4","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"5","Centro","Comércio varejista",2
"6","Centro","Serviços médicos, odontológicos e veterinários",2
"7","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"8","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",10
"9","Centro","Agricultura, silvicultura, criaçao de animais, extrativismo vegetal",1
"10","Centro","Comércio varejista",23
"11","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"12","Centro","Indústria de produtos alimentícios, bebidas e álcool etílico",6
"13","Centro","Comércio varejista",1
"14","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",8
"15","Centro","Comércio varejista",2
"16","Centro","Comércio varejista",3
"17","Centro","Comércio varejista",2
"18","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"19","Centro","Comércio varejista",3
"20","Centro","Comércio varejista",2
"21","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"22","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",8
"23","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",6
"24","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"25","Centro","Comércio varejista",2
"26","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",7
"27","Centro","Comércio varejista",1
"28","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"29","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",6
"30","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"31","Centro","Construçao civil",4
"32","Centro","Comércio varejista",1
"33","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",530
"34","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"35","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"36","Centro","Transportes e comunicaçoes",1
"37","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"38","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"39","Centro","Transportes e comunicaçoes",1
"40","Centro","Comércio varejista",0
"41","Centro","Construçao civil",3
"42","Centro","Construçao civil",1
"43","Centro","Construçao civil",0
"44","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",7
"45","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"46","Centro","Comércio varejista",1
"47","Centro","Comércio varejista",3
"48","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",9
"49","Centro","Serviços médicos, odontológicos e veterinários",4
"50","Centro","Comércio varejista",2
"51","Centro","Comércio varejista",6
"52","Centro","Construçao civil",3
"53","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"54","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"55","Centro","Comércio varejista",10
"56","Centro","Serviços médicos, odontológicos e veterinários",5
"57","Centro","Comércio varejista",4
"58","Centro","Instituiçoes de crédito, seguros e capitalizaçao",4
"59","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",5
"60","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"61","Centro","Serviços médicos, odontológicos e veterinários",1
"62","Centro","Comércio varejista",27
"63","Centro","Transportes e comunicaçoes",8
"64","Centro","Comércio varejista",1
"65","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"66","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",18
"67","Centro","Comércio varejista",24
"68","Centro","Comércio varejista",52
"69","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",55
"70","Centro","Comércio varejista",2
"71","Centro","Comércio atacadista",8
"72","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",6
"73","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",8
"74","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",17
"75","Centro","Serviços médicos, odontológicos e veterinários",2
"76","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
