"","Renda","Região"
"1",675369,"Centro"
"2",267211,"Centro"
"3",327554,"Centro"
"4",0,"Centro"
"5",202936,"Centro"
"6",384039,"Centro"
"7",363956,"Centro"
"8",72573,"Centro"
"9",766830,"Centro"
"10",496282,"Centro"
"11",581316,"Centro"
"12",501470,"Centro"
"13",250397,"Centro"
"14",304069,"Centro"
"15",317017,"Centro"
"16",200077,"Centro"
"17",167350,"Centro"
"18",178375,"Centro"
"19",857015,"Centro"
"20",324944,"Centro"
"21",631199,"Centro"
"22",448864,"Centro"
"23",751373,"Centro"
"24",338450,"Centro"
"25",98852,"Centro"
"26",66376,"Centro"
"27",934069,"Centro"
"28",738520,"Centro"
"29",497605,"Centro"
"30",1165669,"Centro"
"31",631253,"Centro"
"32",1047944,"Centro"
"33",0,"Centro"
"34",0,"Centro"
"35",535513,"Centro"
"36",683981,"Centro"
"37",363912,"Centro"
"38",396772,"Centro"
"39",317415,"Centro"
"40",711645,"Centro"
"41",967379,"Centro"
"42",643507,"Centro"
"43",432011,"Centro"
"44",365096,"Centro"
"45",420008,"Centro"
"46",255775,"Centro"
"47",524145,"Centro"
"48",748653,"Centro"
"49",491717,"Centro"
"50",627848,"Centro"
"51",1467361,"Centro"
"52",554400,"Centro"
"53",3260642,"Centro"
"54",1419007,"Centro"
"55",1121338,"Centro"
"56",3004673,"Centro"
"57",1696898,"Centro"
"58",1596499,"Centro"
"59",994888,"Centro"
"60",3096063,"Centro"
"61",3096063,"Oeste"
"62",3101582,"Centro"
"63",3101582,"Oeste"
"64",122429,"Norte"
"65",133508,"Norte"
"66",316621,"Centro"
"67",503297,"Centro"
"68",503297,"Norte"
"69",191805,"Norte"
"70",761616,"Centro"
"71",761616,"Norte"
"72",93208,"Centro"
"73",93208,"Leste"
"74",93208,"Norte"
"75",856620,"Centro"
"76",856620,"Leste"
"77",766484,"Centro"
"78",513933,"Centro"
"79",745735,"Centro"
"80",576104,"Centro"
"81",516060,"Centro"
"82",433464,"Centro"
